2026-06-27 16:08:08.826 | INFO     | __main__:_process_file:83 - Processing experimental-data/minus-docs/kilo/kilo.c
[mutation testing] 25/95 done (killed=0 survived=25 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 26/95 done (killed=0 survived=26 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 27/95 done (killed=0 survived=27 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 28/95 done (killed=0 survived=28 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 29/95 done (killed=0 survived=29 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 30/95 done (killed=0 survived=30 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 31/95 done (killed=0 survived=31 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 32/95 done (killed=0 survived=32 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 33/95 done (killed=0 survived=33 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 34/95 done (killed=0 survived=34 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 35/95 done (killed=0 survived=35 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 36/95 done (killed=0 survived=36 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 37/95 done (killed=0 survived=37 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 38/95 done (killed=0 survived=38 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 39/95 done (killed=0 survived=39 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 40/95 done (killed=0 survived=40 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 41/95 done (killed=0 survived=41 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 42/95 done (killed=0 survived=42 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 43/95 done (killed=0 survived=43 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 44/95 done (killed=0 survived=44 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 45/95 done (killed=0 survived=45 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 46/95 done (killed=0 survived=46 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 47/95 done (killed=0 survived=47 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 48/95 done (killed=0 survived=48 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 49/95 done (killed=0 survived=49 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 50/95 done (killed=0 survived=50 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 51/95 done (killed=0 survived=51 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 52/95 done (killed=0 survived=52 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 53/95 done (killed=0 survived=53 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 54/95 done (killed=0 survived=54 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 55/95 done (killed=0 survived=55 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 56/95 done (killed=0 survived=56 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 57/95 done (killed=0 survived=57 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 58/95 done (killed=0 survived=58 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 59/95 done (killed=0 survived=59 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 60/95 done (killed=0 survived=60 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 61/95 done (killed=0 survived=61 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 62/95 done (killed=0 survived=62 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 63/95 done (killed=0 survived=63 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 64/95 done (killed=0 survived=64 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 65/95 done (killed=0 survived=65 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 66/95 done (killed=0 survived=66 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 67/95 done (killed=0 survived=67 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 68/95 done (killed=0 survived=68 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 69/95 done (killed=0 survived=69 timed_out=0 compile_failed=0 instrumentation_failed=0)
